,time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen,altitude,azimuth,insolation_vertical
5564,2021-08-20 20:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-20 19:28:16.332097,112.06666666666666,12.101663069321772,-0.16334986827228076,65.48043277,-10.64385208,443.33961537653465
5565,2021-08-20 21:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-20 20:28:16.332097,127.06666666666666,12.101663069321772,-0.3393274914301088,75.02693116,0.53228107,443.33961537653465
5566,2021-08-20 22:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-20 21:28:16.332097,142.06666666666666,12.101663069321772,-0.4834699260935009,83.9751935,12.20552411,443.33961537653465
5567,2021-08-20 23:00:00,0.0,0.0,0.0,232,227.83561643835617,1337.2988461126863,2021-08-20 22:28:16.332097,157.06666666666666,12.101663069321772,-0.5859541035467827,93.06587738,24.07264909,443.33961537653465
5568,2021-08-21 00:00:00,0.0,0.0,0.0,233,228.82191780821918,1337.887701264102,2021-08-20 23:28:30.827950,172.12499999999994,11.754120525303437,-0.6445070833996216,103.23217378,35.82496723,443.5348318886104
5569,2021-08-21 01:00:00,0.0,0.0,0.0,233,228.82191780821918,1337.887701264102,2021-08-21 00:28:30.827950,-172.875,11.754120525303437,-0.6458329779163747,115.95397051,47.01732409,443.5348318886104
5570,2021-08-21 02:00:00,0.0,0.0,0.0,233,228.82191780821918,1337.887701264102,2021-08-21 01:28:30.827950,-157.875,11.754120525303437,-0.5946824247467838,133.85899157,56.78868771,443.5348318886104
5571,2021-08-21 03:00:00,0.0,0.0,0.0,233,228.82191780821918,1337.887701264102,2021-08-21 02:28:30.827950,-142.875,11.754120525303437,-0.4945412495590711,160.50606959,63.30615813,443.5348318886104
5572,2021-08-21 04:00:00,0.0,0.0,0.0,233,228.82191780821918,1337.887701264102,2021-08-21 03:28:30.827950,-127.875,11.754120525303437,-0.3522339079511625,193.85311656,63.89183035,443.5348318886104
5573,2021-08-21 05:00:00,0.0,0.0,0.0,233,228.82191780821918,1337.887701264102,2021-08-21 04:28:30.827950,-112.87499999999999,11.754120525303437,-0.17745841007963511,222.14099675,58.20801575,443.5348318886104
5574,2021-08-21 06:00:00,3.7300960799984137,5.3840957159991,9.114191795997513,233,228.82191780821918,1337.887701264102,2021-08-21 05:28:30.827950,-97.87499999999999,11.754120525303437,0.01787458270573243,241.3051853,48.82323279,1093.8051129219348
5575,2021-08-21 07:00:00,88.38983220420266,53.94266025383722,142.3324924580399,233,228.82191780821918,1337.887701264102,2021-08-21 06:28:30.827950,-82.87499999999999,11.754120525303437,0.22045344974965103,254.68222334,37.78715858,1070.5304064579395
5576,2021-08-21 08:00:00,261.2645856600407,74.18773296441212,335.45231862445286,233,228.82191780821918,1337.887701264102,2021-08-21 07:28:30.827950,-67.87499999999999,11.754120525303437,0.41647277604048394,265.15000929,26.08083359,1027.9942744853618
5577,2021-08-21 09:00:00,445.56812023587634,83.85114719014435,529.4192674260207,233,228.82191780821918,1337.887701264102,2021-08-21 08:28:30.827950,-52.875,11.754120525303437,0.5925741684287639,274.33728071,14.19346386,957.6462932252912
5578,2021-08-21 10:00:00,605.4689837434178,89.11616966068186,694.5851534040996,233,228.82191780821918,1337.887701264102,2021-08-21 09:28:30.827950,-37.875,11.754120525303437,0.7367566080445407,283.23931875,2.44434673,869.9224367270897
5579,2021-08-21 11:00:00,722.2137774106948,91.9337850322636,814.1475624429584,233,228.82191780821918,1337.887701264102,2021-08-21 10:28:30.827950,-22.875,11.754120525303437,0.8391942999007465,292.61414118,-8.87078154,782.7305035433716
5580,2021-08-21 12:00:00,784.7318512662712,93.02769492623987,877.759546192511,233,228.82191780821918,1337.887701264102,2021-08-21 11:28:30.827950,-7.875,11.754120525303437,0.8929062845836707,303.18768625,-19.38771156,722.5039015627558
5581,2021-08-21 13:00:00,787.6261588661652,92.65749484096527,880.2836537071304,233,228.82191780821918,1337.887701264102,2021-08-21 12:28:30.827950,7.125,11.754120525303437,0.8942321791004237,315.72934018,-28.58738177,720.820458651235
5582,2021-08-21 14:00:00,730.714400447799,90.84402020038469,821.5584206481836,233,228.82191780821918,1337.887701264102,2021-08-21 13:28:30.827950,22.125,11.754120525303437,0.8430816259308329,330.91383924,-35.72129924,778.8066338248857
5583,2021-08-21 15:00:00,618.9279282935911,87.40130076512885,706.32922905872,233,228.82191780821918,1337.887701264102,2021-08-21 14:28:30.827950,37.125,11.754120525303437,0.7429404507431202,348.77348605,-39.85279906,865.376612038481
5584,2021-08-21 16:00:00,429.2435025169039,91.5724953243993,520.8159978413032,233,228.82191780821918,1337.887701264102,2021-08-21 15:28:30.827950,52.125,11.754120525303437,0.6006331091352115,7.97501693,-40.20639566,953.543655945534
5585,2021-08-21 17:00:00,252.68434830203438,80.11295962163732,332.7973079236717,233,228.82191780821918,1337.887701264102,2021-08-21 16:28:30.827950,67.12499999999997,11.754120525303437,0.4258576112636847,26.21757417,-36.70549887,1025.1053231307205
5586,2021-08-21 18:00:00,86.51698676078937,58.14475595742858,144.66174271821794,233,228.82191780821918,1337.887701264102,2021-08-21 17:28:30.827950,82.12499999999994,11.754120525303437,0.23052461847831757,41.91288992,-30.03708128,1069.0526610958073
5587,2021-08-21 19:00:00,5.142005889132984,8.620473375341403,13.762479264474386,233,228.82191780821918,1337.887701264102,2021-08-21 18:28:30.827950,97.12499999999994,11.754120525303437,0.027945751434398994,54.89303181,-21.1459109,1090.5537138135198
5588,2021-08-21 20:00:00,0.0,0.0,0.0,233,228.82191780821918,1337.887701264102,2021-08-21 19:28:30.827950,112.12499999999994,11.754120525303437,-0.1680735748564339,65.77316833,-10.82384178,443.5348318886104
5589,2021-08-21 21:00:00,0.0,0.0,0.0,233,228.82191780821918,1337.887701264102,2021-08-21 20:28:30.827950,127.12499999999994,11.754120525303437,-0.3441749672447143,75.32655114,0.37274909,443.5348318886104
5590,2021-08-21 22:00:00,0.0,0.0,0.0,233,228.82191780821918,1337.887701264102,2021-08-21 21:28:30.827950,142.12499999999994,11.754120525303437,-0.4883574068604911,84.28769076,12.05728586,443.5348318886104
