,time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen,altitude,azimuth,I_slope_beam,I_slope_diffuse,I_slope_reflect,I_slope_total,R_b_ave,start_hour_angle,end_hour_angle
6245,2021-09-18 05:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 05:00:00,-105.0,1.0088713639562585,-0.19438534308601357,-15.72797142,254.88750392999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6246,2021-09-18 06:00:00,1.916894199584753,3.384642332869797,5.30153653245455,261,256.43835616438355,1357.1782873535822,2021-09-18 06:00:00,-90.0,1.0088713639562585,0.010734800192270414,-4.04935314,264.45330022,1.9181647220479972,3.3846397553179153,2.422409954217934e-06,5.302806899775867,1.0006628026020004,-90.77610020459493,-82.5
6247,2021-09-18 07:00:00,76.2378029061952,56.97652306204097,133.21432596823615,261,256.43835616438355,1357.1782873535822,2021-09-18 07:00:00,-75.0,1.0088713639562585,0.2158549434705542,7.81912957,273.63999329,76.3263027300622,56.976479671948375,6.086909093135715e-05,133.3028432711015,1.0011608391177784,-82.5,-67.5
6248,2021-09-18 08:00:00,237.47177463981438,79.8747001048185,317.34647474463287,261,256.43835616438355,1357.1782873535822,2021-09-18 08:00:00,-60.0,1.0088713639562585,0.4069964879614873,19.56119337,283.2603057,237.76752512169884,79.8746392767713,0.000145003859664332,317.6423094023298,1.001245413196297,-67.5,-52.5
6249,2021-09-18 09:00:00,406.0742222883903,90.67438750346558,496.74860979185587,261,256.43835616438355,1357.1782873535822,2021-09-18 09:00:00,-45.0,1.0088713639562585,0.5711334532843496,30.80517758,294.25721724,406.5910994538599,90.67431845098821,0.00022697736207932622,497.2656448822102,1.00127286376997,-52.5,-37.5
6250,2021-09-18 10:00:00,544.2752401948827,96.36590308777329,640.641143282656,261,256.43835616438355,1357.1782873535822,2021-09-18 10:00:00,-30.0,1.0088713639562585,0.6970801765015487,40.98526423,307.9075572,544.9747222184253,96.36582970096003,0.00029272560380734643,641.3408446449891,1.0012851623073873,-37.5,-22.5
6251,2021-09-18 11:00:00,633.7204351253163,99.18862881832399,732.9090639436403,261,256.43835616438355,1357.1782873535822,2021-09-18 11:00:00,-15.0,1.0088713639562585,0.7762535965626335,49.13314481,325.82829614,634.5384735642261,99.1885532818827,0.00033488521698663655,733.7273617313258,1.0012908506552232,-22.5,-7.5
6252,2021-09-18 12:00:00,664.7634639956584,99.9941360555765,764.7576000512349,261,256.43835616438355,1357.1782873535822,2021-09-18 12:00:00,0.0,1.0088713639562585,0.803258175730704,53.74229388,348.85208247,665.6226936355794,99.99405990570654,0.00034943764163221136,765.6171029789275,1.001292534392243,-7.5,7.5
6253,2021-09-18 13:00:00,634.2048101524614,99.04622256034335,733.2510327128048,261,256.43835616438355,1357.1782873535822,2021-09-18 13:00:00,15.0,1.0088713639562585,0.7762535965626335,53.40142508,14.235841400000027,635.0234738471923,99.04614713235061,0.0003350414714131381,734.0699560210144,1.0012908506552232,7.5,22.5
6254,2021-09-18 14:00:00,545.0530306217277,96.13723270228088,641.1902633240086,261,256.43835616438355,1357.1782873535822,2021-09-18 14:00:00,30.0,1.0088713639562585,0.6970801765015487,48.23319462,36.64691443999999,545.7535122322099,96.13715948961004,0.0002929765110388801,641.8909646983309,1.0012851623073873,22.5,37.5
6255,2021-09-18 15:00:00,406.93020038173097,90.42272994402342,497.3529303257544,261,256.43835616438355,1357.1782873535822,2021-09-18 15:00:00,45.0,1.0088713639562585,0.5711334532843496,39.74163188,53.91942702,407.44816709070346,90.42266108319419,0.00022725349185187283,497.8710554273895,1.00127286376997,37.5,52.5
6256,2021-09-18 16:00:00,238.21837635609103,79.65519920023317,317.8735755563242,261,256.43835616438355,1357.1782873535822,2021-09-18 16:00:00,60.0,1.0088713639562585,0.4069964879614873,29.37205907,67.12812806,238.51505666560533,79.65513853934543,0.00014524470573703207,318.17034044965646,1.001245413196297,52.5,67.5
6257,2021-09-18 17:00:00,76.66506119582942,56.8509091248885,133.51597032071794,261,256.43835616438355,1357.1782873535822,2021-09-18 17:00:00,75.0,1.0088713639562585,0.2158549434705542,18.02646553,77.8692964,76.75405699783242,56.85086583045637,6.100692008288942e-05,133.60498383520888,1.0011608391177784,67.5,82.5
6258,2021-09-18 18:00:00,1.9320944705089729,3.3801734532180765,5.312267923727049,261,256.43835616438355,1357.1782873535822,2021-09-18 18:00:00,90.0,1.0088713639562585,0.010734800192270414,6.23407476,87.36606115000001,1.9333750677513368,3.3801708790694405,2.4273134060534484e-06,5.313548374134184,1.0006628026020004,82.5,90.77610020459493
6259,2021-09-18 19:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 19:00:00,105.0,1.0088713639562585,-0.19438534308601357,-5.64899873,96.53159290999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6260,2021-09-18 20:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 20:00:00,120.0,1.0088713639562585,-0.3855268875769463,-17.30832803,106.17572558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6261,2021-09-18 21:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 21:00:00,135.0,1.0088713639562585,-0.5496638528998088,-28.36500721,117.19850394999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6262,2021-09-18 22:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 22:00:00,150.0,1.0088713639562585,-0.675610576117008,-38.24743386,130.74420877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6263,2021-09-18 23:00:00,0.0,0.0,0.0,261,256.43835616438355,1357.1782873535822,2021-09-18 23:00:00,165.0,1.0088713639562585,-0.7547839961780927,-46.02356514,148.11322559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6264,2021-09-19 00:00:00,0.0,0.0,0.0,262,257.4246575342466,1357.937626167502,2021-09-19 00:00:00,-180.0,0.6054424233262556,-0.7861596317313322,-50.34869613,169.74785480000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6265,2021-09-19 01:00:00,0.0,0.0,0.0,262,257.4246575342466,1357.937626167502,2021-09-19 01:00:00,-165.0,0.6054424233262556,-0.7591523735847754,-50.04863683,193.26988946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6266,2021-09-19 02:00:00,0.0,0.0,0.0,262,257.4246575342466,1357.937626167502,2021-09-19 02:00:00,-150.0,0.6054424233262556,-0.6799710991561887,-45.21927968,214.43518871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6267,2021-09-19 03:00:00,0.0,0.0,0.0,262,257.4246575342466,1357.937626167502,2021-09-19 03:00:00,-135.0,0.6054424233262556,-0.554011881444637,-37.11939053,231.27560372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6268,2021-09-19 04:00:00,0.0,0.0,0.0,262,257.4246575342466,1357.937626167502,2021-09-19 04:00:00,-120.0,0.6054424233262556,-0.3898586329797134,-27.05590488,244.44611995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
